region_code,priority,active
11.01.01.2001,1,true
11.01.01.2002,2,true
11.01.01.2003,3,true
11.01.01.2004,4,true
11.01.01.2015,5,true
11.01.01.2016,6,true
11.01.01.2017,7,true
11.01.02.2001,8,true
11.01.02.2002,9,true
11.01.02.2003,10,true
11.01.02.2004,11,true
11.01.02.2005,12,true
11.01.02.2006,13,true
11.01.02.2007,14,true
11.01.02.2008,15,true
11.01.02.2009,16,true
11.01.02.2010,17,true
11.01.02.2011,18,true
11.01.02.2012,19,true
11.01.02.2013,20,true
11.01.02.2014,21,true
11.01.02.2015,22,true
11.01.02.2016,23,true
11.01.02.2017,24,true
11.01.02.2018,25,true
11.01.02.2019,26,true
11.01.02.2020,27,true
11.01.02.2021,28,true
11.01.03.2001,29,true
11.01.03.2002,30,true
11.01.03.2003,31,true
11.01.03.2004,32,true
11.01.03.2005,33,true
11.01.03.2006,34,true
11.01.03.2007,35,true
11.01.03.2008,36,true
11.01.03.2009,37,true
11.01.03.2010,38,true
11.01.03.2011,39,true
11.01.03.2012,40,true
11.01.03.2013,41,true
11.01.03.2014,42,true
11.01.03.2015,43,true
11.01.03.2016,44,true
11.01.03.2017,45,true
11.01.04.2001,46,true
11.01.04.2002,47,true
11.01.04.2003,48,true
11.01.04.2004,49,true
11.01.04.2005,50,true
11.01.04.2006,51,true
11.01.04.2007,52,true
11.01.04.2008,53,true
11.01.04.2009,54,true
11.01.04.2010,55,true
11.01.04.2011,56,true
11.01.04.2012,57,true
11.01.04.2013,58,true
11.01.04.2014,59,true
11.01.04.2015,60,true
11.01.04.2016,61,true
11.01.05.2001,62,true
11.01.05.2002,63,true
11.01.05.2003,64,true
11.01.05.2004,65,true
11.01.05.2005,66,true
11.01.05.2006,67,true
11.01.05.2007,68,true
11.01.05.2008,69,true
11.01.05.2009,70,true
11.01.05.2010,71,true
11.01.05.2011,72,true
11.01.05.2012,73,true
11.01.05.2013,74,true
11.01.05.2014,75,true
11.01.05.2015,76,true
11.01.05.2016,77,true
11.01.05.2017,78,true
11.01.05.2018,79,true
11.01.05.2019,80,true
11.01.05.2020,81,true
11.01.05.2021,82,true
11.01.05.2022,83,true
11.01.05.2023,84,true
11.01.06.2001,85,true
11.01.06.2002,86,true
11.01.06.2003,87,true
11.01.06.2004,88,true
11.01.06.2005,89,true
11.01.06.2006,90,true
11.01.06.2007,91,true
11.01.06.2008,92,true
11.01.06.2009,93,true
11.01.06.2010,94,true
11.01.06.2011,95,true
11.01.06.2012,96,true
11.01.06.2013,97,true
11.01.06.2014,98,true
11.01.06.2015,99,true
11.01.06.2016,100,true
11.01.06.2017,101,true
11.01.06.2018,102,true
11.01.06.2019,103,true
11.01.06.2020,104,true
11.01.06.2021,105,true
11.01.06.2022,106,true
11.01.06.2023,107,true
11.01.06.2024,108,true
11.01.06.2025,109,true
11.01.06.2026,110,true
11.01.06.2027,111,true
11.01.06.2028,112,true
11.01.07.2001,113,true
11.01.07.2002,114,true
11.01.07.2003,115,true
11.01.07.2004,116,true
11.01.07.2005,117,true
11.01.07.2006,118,true
11.01.07.2007,119,true
11.01.07.2008,120,true
11.01.07.2009,121,true
11.01.07.2010,122,true
11.01.07.2011,123,true
11.01.07.2012,124,true
11.01.07.2013,125,true
11.01.07.2014,126,true
11.01.07.2015,127,true
11.01.08.2001,128,true
11.01.08.2002,129,true
11.01.08.2003,130,true
11.01.08.2004,131,true
11.01.08.2005,132,true
11.01.08.2006,133,true
11.01.08.2007,134,true
11.01.08.2008,135,true
11.01.08.2009,136,true
11.01.08.2010,137,true
11.01.08.2011,138,true
11.01.08.2012,139,true
11.01.08.2013,140,true
11.01.08.2014,141,true
11.01.08.2015,142,true
11.01.08.2016,143,true
11.01.09.2001,144,true
11.01.09.2002,145,true
11.01.09.2003,146,true
11.01.09.2004,147,true
11.01.09.2005,148,true
11.01.09.2006,149,true
11.01.09.2007,150,true
11.01.09.2012,151,true
11.01.09.2013,152,true
11.01.09.2014,153,true
11.01.09.2015,154,true
11.01.09.2016,155,true
11.01.10.2001,156,true
11.01.10.2002,157,true
11.01.10.2003,158,true
11.01.10.2004,159,true
11.01.10.2005,160,true
11.01.10.2006,161,true
11.01.10.2007,162,true
11.01.10.2008,163,true
11.01.10.2009,164,true
11.01.10.2010,165,true
11.01.10.2011,166,true
11.01.10.2012,167,true
11.01.10.2013,168,true
11.01.10.2014,169,true
11.01.10.2015,170,true
11.01.10.2016,171,true
11.01.10.2017,172,true
11.01.10.2018,173,true
11.01.10.2019,174,true
11.01.10.2020,175,true
11.01.10.2021,176,true
11.01.11.2001,177,true
11.01.11.2002,178,true
11.01.11.2003,179,true
11.01.11.2004,180,true
11.01.11.2005,181,true
11.01.11.2006,182,true
11.01.11.2007,183,true
11.01.11.2008,184,true
11.01.11.2009,185,true
11.01.11.2010,186,true
11.01.11.2011,187,true
11.01.11.2012,188,true
11.01.12.2001,189,true
11.01.12.2002,190,true
11.01.12.2003,191,true
11.01.12.2004,192,true
11.01.12.2005,193,true
11.01.12.2006,194,true
11.01.12.2007,195,true
11.01.12.2008,196,true
11.01.12.2009,197,true
11.01.12.2010,198,true
11.01.12.2011,199,true
11.01.12.2012,200,true
11.01.12.2013,201,true
11.01.12.2014,202,true
11.01.12.2015,203,true
11.01.13.2001,204,true
11.01.13.2002,205,true
11.01.13.2003,206,true
11.01.13.2004,207,true
11.01.13.2005,208,true
11.01.13.2006,209,true
11.01.13.2007,210,true
11.01.13.2008,211,true
11.01.13.2009,212,true
11.01.13.2010,213,true
11.01.13.2011,214,true
11.01.13.2012,215,true
11.01.13.2013,216,true
11.01.14.2001,217,true
11.01.14.2002,218,true
11.01.14.2003,219,true
11.01.14.2004,220,true
11.01.14.2005,221,true
11.01.14.2006,222,true
11.01.14.2007,223,true
11.01.14.2008,224,true
11.01.14.2009,225,true
11.01.15.2001,226,true
11.01.15.2002,227,true
11.01.15.2003,228,true
11.01.15.2004,229,true
11.01.15.2005,230,true
11.01.15.2006,231,true
11.01.15.2008,232,true
11.01.16.2005,233,true
11.01.16.2006,234,true
11.01.16.2007,235,true
11.01.16.2008,236,true
11.01.16.2009,237,true
11.01.16.2010,238,true
11.01.16.2011,239,true
11.01.16.2012,240,true
11.01.17.2001,241,true
11.01.17.2002,242,true
11.01.17.2003,243,true
11.01.17.2004,244,true
11.01.17.2005,245,true
11.01.17.2006,246,true
11.01.17.2007,247,true
11.01.17.2008,248,true
11.01.17.2009,249,true
11.01.17.2010,250,true
11.01.18.2001,251,true
11.01.18.2002,252,true
11.01.18.2003,253,true
11.01.18.2004,254,true
11.01.18.2005,255,true
11.01.18.2006,256,true
11.01.18.2007,257,true
11.01.18.2008,258,true
11.01.18.2009,259,true
11.01.18.2010,260,true
11.02.01.2001,261,true
11.02.01.2002,262,true
11.02.01.2004,263,true
11.02.01.2006,264,true
11.02.01.2007,265,true
11.02.01.2008,266,true
11.02.01.2009,267,true
11.02.01.2011,268,true
11.02.01.2012,269,true
11.02.01.2013,270,true
11.02.01.2014,271,true
11.02.01.2015,272,true
11.02.01.2016,273,true
11.02.01.2017,274,true
11.02.01.2018,275,true
11.02.01.2019,276,true
11.02.01.2020,277,true
11.02.01.2021,278,true
11.02.01.2022,279,true
11.02.01.2023,280,true
11.02.01.2024,281,true
11.02.01.2025,282,true
11.02.01.2026,283,true
11.02.01.2027,284,true
11.02.01.2028,285,true
11.02.01.2029,286,true
11.02.01.2030,287,true
11.02.01.2031,288,true
11.02.02.2001,289,true
11.02.02.2002,290,true
11.02.02.2003,291,true
11.02.02.2004,292,true
11.02.02.2005,293,true
11.02.02.2006,294,true
11.02.02.2007,295,true
11.02.02.2008,296,true
11.02.02.2009,297,true
11.02.02.2010,298,true
11.02.02.2011,299,true
11.02.02.2012,300,true
11.02.02.2013,301,true
11.02.02.2014,302,true
11.02.02.2015,303,true
11.02.02.2016,304,true
11.02.02.2017,305,true
11.02.02.2018,306,true
11.02.02.2019,307,true
11.02.02.2020,308,true
11.02.02.2021,309,true
11.02.02.2022,310,true
11.02.02.2023,311,true
11.02.02.2024,312,true
11.02.02.2025,313,true
11.02.02.2026,314,true
11.02.02.2027,315,true
11.02.02.2028,316,true
